DATAFLOW,REF_AREA,MEASURE,SEX,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MEASURE,UNIT_MULT
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,LEI,M,225.542171895504,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PCA,M,647.910270988941,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,UPW,M,163.9218968153,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PAW,M,370.918160676956,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,LEI,_T,211.271826052666,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PCA,_T,655.960117149353,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,UPW,_T,205.286788487434,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PAW,_T,336.957614922523,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,OTH,F,29.3266840696335,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,LEI,F,196.907735896111,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PCA,F,663.740665984154,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,UPW,F,247.182051444054,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),CAN,PAW,F,302.842900800705,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,OTH,M,11.2140576221717,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,LEI,M,339.542605681607,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PCA,M,643.039503916384,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,UPW,M,186.136081859719,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PAW,M,260.067750920119,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,OTH,_T,10.3519569387025,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,LEI,_T,328.844813086877,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PCA,_T,659.359294963398,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PAW,_T,224.816593619938,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,OTH,F,9.61420494377903,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,LEI,F,319.612544451975,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PCA,F,673.378544051551,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,UPW,F,242.808720907722,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),DNK,PAW,F,194.585985644973,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,OTH,M,17.5000376944963,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,LEI,M,324.78124626106,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,PCA,M,650.692295842542,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,UPW,M,139.187715531909,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,PAW,M,307.838805529711,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,OTH,_T,18.3018223129704,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,LEI,_T,301.154043831466,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,PCA,_T,653.821360150578,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,UPW,_T,173.660976027159,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,OTH,F,19.0606822878249,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,LEI,F,277.308677528336,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,PCA,F,656.283679845747,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,UPW,F,209.36915508837,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),EST,PAW,F,277.977763660019,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,LEI,M,350.287681461297,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PCA,M,628.108680047168,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,UPW,M,161.987690264496,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PAW,M,257.162925567918,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,OTH,_T,39.8454146003223,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,LEI,_T,329.806604610792,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PCA,_T,644.694376416737,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,UPW,_T,185.546038763971,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PAW,_T,240.107553814392,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,OTH,F,37.2027739363302,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,LEI,F,308.540555071002,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PCA,F,663.376294260677,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,UPW,F,208.748649916855,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FIN,PAW,F,222.131707192206,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,LEI,M,319.130806843015,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,PCA,M,742.955399211535,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,UPW,M,134.939453321805,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,PAW,M,235.132065209748,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,OTH,_T,8.94711452440032,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,LEI,_T,293.542647204861,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,PCA,_T,752.246544090006,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,UPW,_T,181.098549714387,0,A,MN_D,0
OECD.WISE.INE:DSD_TIME_USE@DF_TIME_USE(1.0),FRA,PAW,_T,204.165144466346,0,A,MN_D,0
